Word,tf_pos,tf_neg,score_pos,score_neg,idf
máy,95,59,7.569855608330948,6.882643049361842,0.0
xài,44,15,6.459431618637297,4.906890595608519,0.0
mượt,55,2,6.78135971352466,2.0,0.0
chụp,33,11,6.044394119358453,4.459431618637297,0.0
đêm,4,2,3.0,2.0,0.0
ảnh,14,3,4.807354922057604,2.584962500721156,0.0
thu,4,0,3.0,0,0.3010299956639812
sáng,9,1,4.169925001442312,1.0,0.0
rất,101,19,7.658211482751795,5.247927513443585,0.0
tốt,45,1,6.491853096329675,1.0,0.0
dùng,26,11,5.700439718141093,4.459431618637297,0.0
ok,47,1,6.554588851677638,1.0,0.0
có,25,12,5.643856189774724,4.584962500721156,0.0
điều,5,0,3.321928094887362,0,0.3010299956639812
vân,17,17,5.087462841250339,5.087462841250339,0.0
tay,26,19,5.700439718141093,5.247927513443585,0.0
không,50,53,6.643856189774724,6.727920454563199,0.0
nhạy,17,3,5.087462841250339,2.584962500721156,0.0
mấy,10,0,4.321928094887362,0,0.3010299956639812
chơi,51,11,6.672425341971495,4.459431618637297,0.0
ngon,16,0,5.0,0,0.3010299956639812
sử,17,4,5.087462841250339,3.0,0.0
dụng,21,6,5.392317422778761,3.584962500721156,0.0
đặc,3,0,2.584962500721156,0,0.3010299956639812
biệt,4,0,3.0,0,0.3010299956639812
là,34,10,6.087462841250339,4.321928094887362,0.0
pin,87,33,7.442943495848728,6.044394119358453,0.0
đung,1,0,1.0,0,0.3010299956639812
lâu,8,1,4.0,1.0,0.0
hình,36,26,6.169925001442312,5.700439718141093,0.0
ổn,35,3,6.129283016944966,2.584962500721156,0.0
định,9,1,4.169925001442312,1.0,0.0
game,51,6,6.672425341971495,3.584962500721156,0.0
mà,21,20,5.392317422778761,5.321928094887363,0.0
bị,17,25,5.087462841250339,5.643856189774724,0.0
nóng,15,12,4.906890595608519,4.584962500721156,0.0
đối,2,0,2.0,0,0.3010299956639812
với,21,9,5.392317422778761,4.169925001442312,0.0
tôi,2,2,2.0,2.0,0.0
tháng,8,12,4.0,4.584962500721156,0.0
toàn,1,1,1.0,1.0,0.0
bộ,3,0,2.584962500721156,0,0.3010299956639812
hết,11,15,4.459431618637297,4.906890595608519,0.0
chỉ,8,3,4.0,2.584962500721156,0.0
làm,6,4,3.584962500721156,3.0,0.0
mau,3,2,2.584962500721156,2.0,0.0
