Word,tf_pos,tf_neg,score_pos,score_neg,idf
máy,68,67,7.087462841250339,7.066089190457772,0.0
dùng,23,13,5.523561956057013,4.700439718141093,0.0
ok,40,2,6.321928094887363,2.0,0.0
mượt,41,4,6.357552004618084,3.0,0.0
vân,12,17,4.584962500721156,5.087462841250339,0.0
tay,16,18,5.0,5.169925001442312,0.0
nhạy,10,1,4.321928094887362,1.0,0.0
mấy,8,1,4.0,1.0,0.0
chơi,41,15,6.357552004618084,4.906890595608519,0.0
pubg,6,0,3.584962500721156,0,0.3010299956639812
ngon,12,0,4.584962500721156,0,0.3010299956639812
sử,12,6,4.584962500721156,3.584962500721156,0.0
dụng,17,9,5.087462841250339,4.169925001442312,0.0
tháng,6,11,3.584962500721156,4.459431618637297,0.0
toàn,1,4,1.0,3.0,0.0
bộ,4,0,3.0,0,0.3010299956639812
hết,10,13,4.321928094887362,4.700439718141093,0.0
cấu,14,0,4.807354922057604,0,0.3010299956639812
hình,42,23,6.392317422778761,5.523561956057013,0.0
mạnh,5,1,3.321928094887362,1.0,0.0
game,37,11,6.20945336562895,4.459431618637297,0.0
mình,31,14,5.954196310386875,4.807354922057604,0.0
thấy,26,13,5.700439718141093,4.700439718141093,0.0
sản,23,8,5.523561956057013,4.0,0.0
phẩm,23,7,5.523561956057013,3.807354922057604,0.0
đẹp,48,3,6.584962500721156,2.584962500721156,0.0
có,28,20,5.807354922057604,5.321928094887363,0.0
tất,6,0,3.584962500721156,0,0.3010299956639812
cả,10,10,4.321928094887362,4.321928094887362,0.0
đều,10,1,4.321928094887362,1.0,0.0
pin,73,40,7.189824558880018,6.321928094887363,0.0
ổn,31,2,5.954196310386875,2.0,0.0
khá,16,2,5.0,2.0,0.0
camera,36,18,6.169925001442312,5.169925001442312,0.0
selfie,1,2,1.0,2.0,0.0
rất,80,24,7.321928094887363,5.584962500721156,0.0
nịnh,1,0,1.0,0,0.3010299956639812
mắt,2,0,2.0,0,0.3010299956639812
thích,5,1,3.321928094887362,1.0,0.0
nhất,6,7,3.584962500721156,3.807354922057604,0.0
là,39,12,6.285402218862249,4.584962500721156,0.0
sạc,18,14,5.169925001442312,4.807354922057604,0.0
siêu,9,0,4.169925001442312,0,0.3010299956639812
nhanh,20,20,5.321928094887363,5.321928094887363,0.0
cũng,13,10,4.700439718141093,4.321928094887362,0.0
trong,19,6,5.247927513443585,3.584962500721156,0.0
tầm,32,1,6.0,1.0,0.0
giá,35,1,6.129283016944966,1.0,0.0
thì,27,39,5.754887502163468,6.285402218862249,0.0
một,5,4,3.321928094887362,3.0,0.0
ngày,19,19,5.247927513443585,5.247927513443585,0.0
vì,2,3,2.0,2.584962500721156,0.0
vào,6,5,3.584962500721156,3.321928094887362,0.0
cài,4,2,3.0,2.0,0.0
đặt,2,2,2.0,2.0,0.0
chỉnh,2,2,2.0,2.0,0.0
sửa,2,0,2.0,0,0.3010299956639812
số,2,3,2.0,2.584962500721156,0.0
cái,6,6,3.584962500721156,3.584962500721156,0.0
